product_id,title,universe,image_url,bullet_points,min_rank_search,avg_rank_search,min_rank_category,avg_rank_category,retailer_category_node,retailer_brand_name,description_filled
B0BGR4FTZS,"Gatorlyte Powder Orange, 16.9oz (Pack of 6)",beverages,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/74964887d7212a6b8e9e7ba1694a22c1.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/74094cf878813ff0d73e1ed9e916f0c0.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/161e9bc3e719eda4af268039d0bb3a9c.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/17ad174a3f70ec02a660403196f28caa.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/020424dd25049491ba14c4063411f6c3.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/14f9e4b27a6a0c715e207a01d4a151a5.res""]","[""Includes 6 Single Serve Powder Sticks of Gatorade Gatorlyte Rapid Rehydration Powder, each stick makes 16.9 (500ml) of Gatorlyte, Orange flavor"",""Same great product as Gatorlyte Ready to Drink, but in convenient powder form."",""Scientifically formulated for rapid rehydration to help quickly replace the fluids and electrolytes lost in sweat"",""Specialized blend of 5 electrolytes: Sodium, Potassium, Chloride, Magnesium, and Calcium"",""Made with no artificial sweeteners or flavors"",""Lower Sugar: Made with 60% lower sugar than leading sports drink, Gatorlyte contains 10g total sugars per 16.9 fl oz serving, the leading sports drink contains 32g sugars per 16.9 fl oz serving."",""45 calories per packet""]",42,42,,,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,,"Gatorlyte provides athletes with rapid rehydration and contains the following: 5-electrolyte blend, Lower sugar , & No artificial sweeteners or flavors. The key electrolyte in Gatorlyte, sodium, helps replace what is lost in sweat."
B0D5WRQZFX,"Hi-Lyte K1000 Electrolytes Sticks Unflavored Keto & Performance, 30 Servings",breakfast cereal,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/616f8e5ebd5f6c0056d4f53b67a71bea.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/45c4e72f76d9aa457f2a47b03ec5469b.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/2fbf0ad6c1564ed55d740081edc65a24.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/900e574ced787e85427a5b0f2ac6ba51.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/b4be0cef05b6ed61fd805032c1c4623a.res""]","[""KETO ELECTROLYTE SUPPLEMENT – Keto K1000 electrolyte powder is a high potassium supplement designed to help with hydration, increase cellular energy, and beat the Keto flu. With 1,000mg of potassium, this trace mineral blend is tailor-made for keto and intermittent fasting enthusiasts. Simply mix one scoop into 16 oz of water. Avoid exceeding one serving every four hours or three servings a day. If you're new to the product, start with half a serving to ensure tolerance. Use as directed."",""NO ADDITIVES - Our non-GMO, vegan, and gluten-free electrolyte powder formula is a favorite among athletes and fitness enthusiasts. It contains absolutely NO added sugar, soy, calories or maltodextrin. Crafted from natural sea salt and trace minerals, it helps to facilitate rapid rehydration and enhances your morning recovery."",""PEAK HYDRATION & CELLULAR ENERGY - Electrolytes play a crucial role in supporting cellular energy, muscle function, and nerve health. Our potassium-rich electrolyte powder may help rejuvenate cellular energy, ensuring you stay active and energetic. This soluble, performance electrolyte serving delivers 1,000mg of potassium, helping you reach the recommended daily intake of 4,700mg of potassium citrate."",""ULTIMATE HYDRATION – Keto K1000 hydration packets strikes the perfect balance of electrolytes and potassium, ideal for promoting hydration, muscle recovery, and sustained energy levels. Whether you're into fitness, intermittent fasting, or low carb living, this USA-blended supplement has you covered."",""30 SERVINGS – This supplement provides 30 servings of electrolyte and trace mineral support powder. In addition to potassium, it also contains essential minerals such as Zinc, Calcium, Manganese, Sodium, and more. This is a unflavored electrolyte drink- N0 SUGAR! To enjoy the enhanced electrolytes simply add water and enjoy. Adapted Nutrition is committed to helping you transform your diet and fitness habits for a healthier life. Packaging my vary.""]",4,4,,,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Hi-Lyte,"Hi-Lyte K1000 Electrolytes Sticks Unflavored Keto Performance 30 Servings is designed for everyday use in the Health & Household segment. Suitable for home or on-the-go use; review the product images and information for full specifications and usage guidance. KETO ELECTROLYTE SUPPLEMENT – Keto K1000 electrolyte powder is a high potassium supplement designed to help with hydration, increase cellular energy, and beat the Keto flu. With 1,000mg of potassium, this trace..."
B0C6D9K39S,"Waterboy Weekend Recovery Sample Pack | 3,200mg Electrolyte Powder Packets | Ginger + L-Theanine + Vitamins | No Sugar, All Natural, Gluten Free | 12 Drink Stick Mixes (Sample Pack)",pantry staples,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/4e9c4bfcb094f663c04e888949b00b06.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/956f475c3c6976090e0e3203539a8961.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/8d32da6f7aff166fe87eda4ed82133bf.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/7a70a683f29d1cbceadcf6c5e656b287.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/f9de464c7a5dedd5ca060278843e9f93.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/916b614c86741af4c6fc6531840d3d39.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/87f242b43d760c04bcac89e65316f7a2.res""]","[""MADE FOR ADULTS: Most electrolyte mixes and electrolyte drinks on the market are made for kids, general hydration or sports or and are LOADED with sugar. Waterboy weekend recovery is made specifically to help adults. Waterboy includes L-theanine, ginger and vitamins to help you bounce back faster""]",3,21,,,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Waterboy,"Waterboy Weekend Recovery Sample Pack 3 200mg Electrolyte Powder Packets Ginger L-Theanine Vitamins No Sugar All is designed for everyday use in the Health & Household segment. Suitable for home or on-the-go use; review the product images and information for full specifications and usage guidance. MADE FOR ADULTS: Most electrolyte mixes and electrolyte drinks on the market are made for kids, general hydration or sports or and are LOADED with sugar. Waterboy weekend recovery is made specifically"
B0BPVKSP8R,"Horbäach Electrolytes Powder | 16 oz | 130 Servings | Hydration Supplement | Vegetarian | Keto-Friendly | Non-GMO, Gluten Free Formula | Lemon Flavor",beverages,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/ce1c32149706a339e69ece3d75f60d74.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/107e4a1fbcf07c064f0cbedd43eaa640.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/eb690f0fb06e2195c523fd07fa8064f5.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/a353a84178283ffb7f1ac6ed2ef598fa.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/8bb3a1ea273d4c41d3df3a5d2e3c0715.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/25b2cd8f0ffa74d8cf44983a504acf94.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/ab3fb6f54e080db9955a68afcb3bb44c.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/7d7d912b8e549ae48d621fe1a4d9b8fb.res""]","[""ELECTROLYTE POWDER: Features a proprietary blend of Electrolytes, vitamins, minerals and more!"",""CONVENIENT POWDER: Lemon-Flavored vegetarian powder easily mixes with water"",""EXPERTLY CRAFTED: Our professional formula is backed by our commitment to purity and potency"",""HORBAACH MANUFACTURERS: Laboratory Tested, Trusted Ingredients, Superior Quality, 100% Guaranteed!"",""NATURALLY FREE OF: Gluten, Wheat, Milk, Lactose, Soy, Artificial Color, Sweetener & Non-GMO""]",59,59,8,8,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Horbäach,"Horbäach Electrolytes Powder 16 oz 130 Servings Hydration Supplement Vegetarian Keto-Friendly Non-GMO Gluten Free Formula Lemon is designed for everyday use in the Health & Household segment. Key details include ELECTROLYTE POWDER: Features a proprietary blend of Electrolytes, vitamins, minerals and more!, CONVENIENT POWDER: Lemon-Flavored vegetarian powder easily mixes with water, and EXPERTLY CRAFTED: Our professional formula is backed by our commitment to purity and potency. Suitable for home"
B0BGR6842K,"Gatorlyte Powder Watermelon, 16.9oz (Pack of 6)",pantry staples,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/f2409b1ca6520e8e4b2edba9d71dc0de.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/b3ef317fff0fa5b70b271f3e912bbfc4.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/161e9bc3e719eda4af268039d0bb3a9c.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/17ad174a3f70ec02a660403196f28caa.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/020424dd25049491ba14c4063411f6c3.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/c30ce537e59f741d6e5dabbbd8fcc1fc.res""]","[""Includes 6 sticks of Gatorlyte Rapid Rehydration powder, each stick makes 16.9 oz (500ml) of Gatorlyte, Watermelon flavor"",""Same great product as Gatorlyte Ready to Drink, but in convenient powder form."",""Scientifically formulated for rapid rehydration to help quickly replace the fluids and electrolytes lost in sweat"",""Specialized blend of 5 electrolytes: Sodium, Potassium, Chloride, Magnesium, and Calcium"",""Made with no artificial sweeteners or flavors"",""Lower Sugar: Made with 60% lower sugar than leading sports drink, Gatorlyte contains 10g total sugars per 16.9 fl oz serving, the leading sports drink contains 32g sugars per 16.9 fl oz serving.""]",14,14,31,31,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Gatorlyte,Scientifically formulated for rapid rehydration to help quickly replace the fluids and electrolytes lost in sweat.
B0CV5T9NP2,"KEY NUTRIENTS Multivitamin Electrolytes Powder Packets - Delicious Passion Fruit 20 Pack Hydration Packets - Travel Hydration Powder - No Sugar, No Calories, Gluten Free - Made in USA",snacks & sweets,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/1356f0dc72ff917395e75626f0d36d30.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/966eb01934071b3e3c227dbec09e5476.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/a76b79ca5929585189d8e16c50c6843c.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/c5acdc850fae72f4767b5ce4af2a6090.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/4c67238cc4313a3495ca435eac22c67a.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/38046c05dbf9a33580b0a408754eea8c.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/74a53ed7a9f92077c62227177abb53e8.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/511aa007714497273d7f86a05e024d0a.res""]","[""ElectrolyteDaily Hydration Electrolyte Powder Packets - Fatigued? Jet-lagged? Pulling an all-nighter? You need a balanced mix of electrolytes to keep your body energized and hydrated. Key Nutrients drink mix hydrates faster and better than water alone. Suitable for all diets and lifestyles, everyone can enjoy our on-the-go daily electrolyte hydration packets to power through whatever life throws.s Passion Fruit 20’s Stick Packs"",""Supercharged with 6 Electrolytes + 10 Vitamins and Minerals - Our hydration powder packets are packed with 6 key electrolytes: Magnesium, Potassium, Calcium, Phosphorus, Sodium, and Chloride. Plus, this electrolyte mix drink is enriched with 10 essential minerals and multiple vitamins, including vitamins B1, B2, B3, B5, B7, and vitamin C, to give your immune system an extra boost."",""Zero Sugar, Calories, and Carbs - Time to ditch those sugary sports drinks. Our science-based hydration mix formula is sugar free, has zero calories, zero caffeine, and zero carbs. Feel great with our keto electrolytes powder packets that's ideal for daily life hydration."",""Delicious Passion Fruit Flavor - Add a refreshing burst of passion fruit goodness to your hydration routine. This easy to mix electrolytes no sugar is available in convenient 20-pack travel packets. It easily dissolves—simply add one packet to 16 fl. oz. of water. If you prefer less sweetness, add one packet to 20 fl. oz of water."",""Powering Your Lifestyle - Key Nutrients is a veteran-founded business committed to developing high-impact electrolyte supplements. Made in the USA, our clean, science-backed products offer everyday hydration for every lifestyle.""]",,,,,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,KEY NUTRIENTS,KEY NUTRIENTS Multivitamin Electrolytes Powder Packets Delicious Passion Fruit 20 Pack Hydration Packets Travel Hydration Powder is designed for everyday use in the Health & Household segment. Suitable for home or on-the-go use; review the product images and information for full specifications and usage guidance.
B0D6N5FZ29,Liquid I.V. Sugarfree Hydration Multiplier Lemon Lime & White Peach - 26 Sticks,beverages,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/aff6e8804c738df1c3523d3690039481.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/27cde96a6fba6c4d3aa7d1704f38141b.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/6873ed2a20dbdbbcbc20d94a6efffa6e.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/5e715402ac932711d3be319380803e33.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/661b4b51beb7be0bcbe58c9e41b2e2f7.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/c37aabffbb7897d1d720a69af55ecebb.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/66eac46d39547f39f5d7e69cf990b89c.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/af1db4c5d5973b480938623aede44a08.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/50a9007eedb4059731e184f874e830d4.res""]","[""No Artificial Sweeteners"",""Proprietary Amino Acid Allulose Blend"",""3x the Electrolytes of the Leading Sports Drink"",""Scientifically & Clinically Tested 0 Sugar Hydration Solution""]",,,5,5,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Liquid I.V.,Sports Nutrition Electrolyte Replacement Drinks
B0DGHN493N,"BARE PERFORMANCE NUTRITION BPN Electrolytes Hydration Drink Mix | Sugar Free Electrolyte Powder | 500mg Sodium per Serving | Naturally Sweetened | Mango, 50 Servings",snacks & sweets,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/4bfc742bb477db83adfa919d586e7b52.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/eff9d48b932b108193b5e8a8b50b8f64.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/f9032542140210f2333e28bfa2c04c5f.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/6199ddb2ec17271427fe2b6cf3de6187.res""]","[""BPN ELECTROLYTES HYDRATION DRINK MIX: Contains sodium, potassium, chloride and magnesium in a ratio for maximum fluid regulation to optimize your performance, and maintain appropriate levels of hydration. 50 Servings"",""PRIMARY BENEFITS: Improve daily hydration with a balanced ratio of electrolytes. Improve performance, reduce fatigue, fight dehydration, optimize performance, and improve your daily health goals"",""SUGAR FREE: Naturally sweetened and flavored. 500mg Sodium per serving from Pink Himalayan Salt. Nothing that you don't need, but everything that you do. This supplement does not contain any sugar, and is naturally sweetened and flavored."",""THIRD-PARTY TESTED FOR BANNED SUBSTANCES: Informed Sport certified products are tested for prohibited substances ensuring you feel comfortable consuming. Date printed on bottle is the Manufacturing Date. Expiration Date is two years after MFG date"",""BARE PERFORMANCE NUTRITION: We are a team of driven leaders who are passionate about helping others reach their highest levels of fitness with training, nutrition, and supplementation. We live and train behind the motto, \""GO ONE MORE\""""]",30,38,2,2,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,BARE PERFORMANCE NUTRITION,BARE PERFORMANCE NUTRITION BPN Electrolytes Hydration Drink Mix Sugar Free Electrolyte Powder 500mg Sodium per Serving is designed for everyday use in the Health & Household segment. Suitable for home or on-the-go use; review the product images and information for full specifications and usage guidance.
B07L46F4X3,"Precision Hydration Electrolyte Tablets - Multi Strength Effervescent Hydration Tablets - Combats Cramp - Low Calorie, Gluten Free, Vegan Friendly (12 Tubes, 500mg/L - Yellow Tube)",snacks & sweets,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/53fec995c63c3368e2864aa15c9642b8.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/e6347750de9ea0538e3b51e3703f022c.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/6d6630eff7a7765a6fff89d53a774080.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/ee36c1b612cd2bd92d22abb7707b8c47.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/3072da6ce514de35f40cc2ef7e81c434.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/2da8d6deedfc9b52d6142b7e5db4f375.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/980dc7f2a85cb83b7dcbd9b7e06856d6.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/7860fc7e704ce4e148e3e60bd00d847a.res""]",[],,,,,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Precision Hydration,Precision Hydration Electrolyte Tablets Multi Strength Effervescent Hydration Tablets Combats Cramp Low Calorie Gluten Free Vegan is designed for everyday use in the Health & Household segment. Suitable for home or on-the-go use; review the product images and information for full specifications and usage guidance.
B0C3KGFWVL,"Zeal Naturals Enhanced Electrolyte Powder Stick Packs (Variety Pack - 20 Packets) Sugar Free + BCAA B-Vitamins & Pink Himalayan Salt - Keto Electrolytes, Hydration Powder",snacks & sweets,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/6a758c40347981f194230e4078bcb83a.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/a3af8220557b02e610b572cb6a75b6a4.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/02e0de5b1a059822704513e23701361d.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/95d716270581e11f6a148ef88efd1bfb.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/6a3a004681e8e27ca6cd930d37a86684.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/bd21a872e725caa52267ef34567b4be2.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/86bd005375de2ac222162e4a3e8a262c.res""]","[""ENHANCED ELECTROLYTES VARIETY PACK: for Hydration & Recovery. Made with 6x more potassium and 3x more sodium than leading sports drinks and enhanced with BCAAs, and B-Vitamins for complete hydration, recovery, and stamina.*"",""No added sugar. No added calories. The best-tasting sugar free electrolyte powder you will ever taste made with all-natural sweeteners. NO ADDED: sugar, calories, caffeine, gluten, dairy, soy, nuts, artificial ingredients."",""Lab-Tested, GMP Compliant - Zeal Naturals uses only the highest-quality, thoroughly-tested ingredients in their products. All of the products are manufactured in a facility following GMP guidelines. The products are then 3rd party Lab-Tested to assure the quality of the ingredients."",""Comes in 4 amazing flavors with five servings of each flavor! Lemon Berry, Black Cherry, Blue Raspberry, and Cherry Limeade""]",55,55,,,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Zeal Naturals,"The ultimate clean electrolyte drink for complete hydration and recovery* ‣ Made with Real Salt containing over 60 trace minerals. ‣ Six times more potassium and three times more sodium than some leading sports drinks.* ‣ Enhanced with BCAAs and B-Vitamins for muscle recovery and stamina.* ‣ natural ingredients, zero sugar, zero calories. Real Salt is a registered trademark of Redmond, Inc."
