product_id,title,universe,image_url,bullet_points,min_rank_search,avg_rank_search,min_rank_category,avg_rank_category,retailer_category_node,retailer_brand_name,description_filled,source_product_id
B0BGR5GH7JK,"Nuun Sport Hydration Tablets, Tropical Flavor, 4 Tubes (10 Tablets Each)",beverages,[],"[""Effervescent tablets that dissolve in water for instant electrolyte replenishment."", ""Contains a blend of 4 essential electrolytes: sodium, potassium, magnesium, and calcium."", ""Designed for optimal hydration before, during, and after workouts."", ""Low in sugar and calories, with only 1g of sugar per tablet."", ""No artificial colors or flavors."", ""Each tube contains 10 tablets, making 16oz of sports drink per tablet.""]",55.0,58.0,5.0,7.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Nuun,"Nuun Sport provides a clean and effective way to rehydrate with essential electrolytes and a refreshing taste. Perfect for athletes looking for a low-sugar, portable hydration solution.",B0BGR4FTZS
B0BGR6IJ8LM,"Liquid IV Hydration Multiplier Powder Sticks, Lemon-Lime Flavor, 14 Count",beverages,[],"[""Utilizes Cellular Transport Technology (CTT) to deliver hydration and nutrients efficiently."", ""Contains a precise ratio of electrolytes, including sodium, potassium, and chloride."", ""Formulated with B vitamins and vitamin C for added energy and immune support."", ""Sweetened with cane sugar and stevia leaf extract, offering a balanced taste."", ""Each stick makes 16oz of refreshing beverage."", ""Convenient single-serve powder packets for on-the-go hydration.""]",38.0,40.0,3.0,4.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Liquid IV,Liquid IV Hydration Multiplier is designed for rapid electrolyte and hydration delivery. Its advanced technology and vitamin blend make it an excellent choice for active individuals.,B0BGR4FTZS
B0DJ4XW1YZ,"Keto-Ade Electrolyte Powder - Unflavored - 1000mg Potassium, Zero Sugar, 30 Servings for Keto & Low Carb Diets",breakfast cereal,[],"[""MAXIMUM POTASSIUM SUPPORT: Each serving delivers a potent 1000mg of potassium citrate to help maintain electrolyte balance and combat keto flu symptoms. Perfect for ketogenic, paleo, and low-carb lifestyles."", ""ZERO SUGAR & CALORIE-FREE: Enjoy pure hydration without the guilt. Keto-Ade is completely sugar-free, carb-free, and calorie-free, making it ideal for strict dietary regimens."", ""NATURAL TRACE MINERAL BLEND: Formulated with essential trace minerals and natural sea salt to replenish what your body loses, supporting optimal hydration and cellular function."", ""VEGAN & GLUTEN-FREE: A clean, plant-based formula free from artificial sweeteners, colors, soy, and maltodextrin. Suitable for vegans and those with dietary sensitivities."", ""30 SERVINGS FOR CONVENIENCE: Comes in a convenient powder form with 30 individual servings, easily mixed with water for on-the-go electrolyte replenishment.""]",8.0,7.5,3.0,2.8,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Keto-Ade,"Keto-Ade Electrolyte Powder provides essential potassium and trace minerals for optimal hydration and keto flu relief. This unflavored, zero-sugar formula is perfect for supporting low-carb and ketogenic diets.",B0D5WRQZFX
B0DJ5YV9ZU,"Electrolyte Replenisher Powder - Unflavored - 1000mg Potassium + Magnesium & Sodium - Keto, Paleo, Fasting Friendly - 30 Servings",breakfast cereal,[],"[""COMPREHENSIVE ELECTROLYTE FORMULA: Boost your hydration with a balanced blend of 1000mg potassium, magnesium, and sodium to support muscle function, nerve activity, and energy levels."", ""KETO & PALEO COMPLIANT: Designed for individuals following ketogenic, paleo, intermittent fasting, or low-carb diets. Contains no added sugars, artificial sweeteners, or fillers."", ""NATURAL SEA SALT BASE: Crafted with high-quality sea salt and essential minerals for rapid absorption and effective rehydration without any unpleasant aftertaste."", ""ENHANCES PERFORMANCE & RECOVERY: Helps replenish vital electrolytes lost during exercise or fasting, aiding in faster recovery and sustained energy throughout the day."", ""UNFLAVORED & VERSATILE: The pure, unflavored powder mixes seamlessly into water, smoothies, or your favorite beverages for customizable hydration.""]",12.0,11.0,5.0,4.5,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Vitality Fuel,"Vitality Fuel Electrolyte Replenisher Powder offers a comprehensive mix of potassium, magnesium, and sodium for superior hydration and performance. Ideal for keto, paleo, and fasting lifestyles with a clean, unflavored formula.",B0D5WRQZFX
B0D7E8F9G0H,"RevivePlus Adult Electrolyte Powder - Post-Activity & Daily Wellness | 3000mg Electrolyte Blend | With B-Vitamins & Adaptogens | Sugar-Free, Vegan, Gluten-Free | 15 Stick Packs",pantry staples,[],"[""TARGETED ADULT RECOVERY: Formulated for adults seeking to replenish and rehydrate after a strenuous day or intense activity, unlike generic sports drinks."", ""ADVANCED ELECTROLYTE FORMULA: Features a balanced blend of sodium, potassium, magnesium, and calcium to support optimal hydration and muscle function."", ""ENHANCED WITH B-VITAMINS & ADAPTOGENS: Includes essential B-vitamins for energy metabolism and adaptogens like Ashwagandha to help manage stress and promote overall well-being."", ""CLEAN INGREDIENTS: Zero sugar, vegan-friendly, and gluten-free. Made with natural flavors and sweeteners for a refreshing, guilt-free experience."", ""CONVENIENT STICK PACKS: Perfectly portioned for on-the-go hydration. Simply mix with water for a delicious and effective recovery drink.""]",5.0,25.0,2.0,15.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,RevivePlus,"RevivePlus Adult Electrolyte Powder is designed to support adult recovery and daily wellness with a comprehensive blend of electrolytes, B-vitamins, and adaptogens. This sugar-free, vegan, and gluten-free formula comes in convenient stick packs for easy hydration anytime.",B0C6D9K39S
B0A1B2C3D4E,"Apex Hydration Recovery Mix | 3100mg Electrolyte Complex | Ginseng & Vitamin C Boost | Zero Sugar, Natural Flavors | 14 Single-Serve Powder Pouches",pantry staples,[],"[""POST-ACTIVITY REPLENISHMENT: Specifically crafted for adults needing to recover and rehydrate, focusing on natural replenishment without artificial additives."", ""POWERFUL ELECTROLYTE BLEND: Delivers a potent mix of critical electrolytes to restore balance and support cellular function after exertion."", ""WITH GINSENG & VITAMIN C: Infused with invigorating Ginseng for sustained energy and Vitamin C for immune support, aiding your rebound."", ""HEALTH-CONSCIOUS FORMULA: Absolutely no sugar, made with natural flavors, and free from gluten and artificial sweeteners."", ""PORTABLE RECOVERY SOLUTION: Easy-to-use powder pouches, perfect for your gym bag, office, or travel for on-demand hydration.""]",8.0,30.0,3.0,18.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Apex Hydration,"Apex Hydration Recovery Mix offers adults a superior way to rehydrate and recover with a 3100mg electrolyte complex enhanced by Ginseng and Vitamin C. This zero-sugar, naturally flavored powder mix comes in convenient pouches.",B0C6D9K39S
B0BRPVK77R,Purely Hydrated Electrolyte Powder | 14 oz Tub | 100 Servings | Advanced Hydration Formula | Vegan | Zero Sugar | Natural Orange Zest Flavor,beverages,[],"[""ADVANCED ELECTROLYTE BLEND: Packed with essential electrolytes like sodium, potassium, and magnesium for optimal hydration."", ""ZERO SUGAR FORMULA: Delicious orange zest flavor with no added sugar, perfect for keto and low-carb lifestyles."", ""VEGAN & NATURAL: Made with plant-based ingredients, free from artificial sweeteners and colors."", ""QUICK DISSOLVING: Easily mixes into water, creating a refreshing and revitalizing beverage."", ""SUPPORTS PERFORMANCE: Replenishes vital minerals lost during exercise or daily activities.""]",65.0,62.0,10.0,9.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Purely Hydrated,"Purely Hydrated Electrolyte Powder offers a refreshing orange zest flavor with a zero-sugar, vegan formula. This advanced blend replenishes essential electrolytes, supporting hydration and performance for active individuals.",B0BPVKSP8R
B0BQVKX55R,HydraCharge Electrolyte Mix Sticks | 30 Packets | Berry Blast Flavor | Fast Hydration Supplement | Gluten-Free | Non-GMO,beverages,[],"[""INDIVIDUAL STICKS: Convenient single-serving packets for on-the-go hydration."", ""ELECTROLYTE RICH: Contains a balanced mix of electrolytes to help restore hydration levels quickly."", ""REFRESHING BERRY BLAST: A delicious berry flavor that makes staying hydrated enjoyable."", ""CLEAN INGREDIENTS: Formulated without gluten or GMOs, ensuring a pure supplement experience."", ""SUPPORTS ENERGY: Aids in maintaining fluid balance and can help combat fatigue.""]",55.0,58.0,7.0,11.0,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,HydraCharge,HydraCharge Electrolyte Mix Sticks provide fast-acting hydration with a convenient berry blast flavor. Each packet is packed with essential electrolytes and is gluten-free and non-GMO.,B0BPVKSP8R
B0C7D8E9F0G,"Hydration Hero Electrolyte Powder Mix - Citrus Burst, 10 Stick Packs (Makes 16.9oz Each)",pantry staples,[],"[""Convenient powder sticks for on-the-go rehydration, each pack makes 16.9 oz of refreshing Citrus Burst drink."", ""Formulated for fast fluid and electrolyte replenishment after intense physical activity or heat exposure."", ""Contains a balanced spectrum of essential electrolytes: Sodium, Potassium, Chloride, Magnesium, and Calcium."", ""Crafted with natural flavors and no artificial colors."", ""Lower sugar content compared to many traditional sports drinks, providing essential hydration without excessive sweetness.""]",18.5,19.0,35.0,36.5,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,Hydration Hero,"Hydration Hero Electrolyte Powder Mix is designed for rapid recovery, quickly restoring fluids and key electrolytes lost through sweat. Enjoy the crisp Citrus Burst flavor.",B0BGR6842K
B0C1A2B3C4D,"EnduroFuel Electrolyte Powder Sachets - Berry Blast, 8-Count",pantry staples,[],"[""Pack of 8 individual sachets, each designed to dissolve in 16.9 oz (500ml) of water for a Berry Blast electrolyte drink."", ""Engineered for rapid rehydration, helping your body recover essential minerals and fluids efficiently."", ""Features a comprehensive blend of 5 vital electrolytes: Sodium, Potassium, Chloride, Magnesium, and Calcium."", ""Made with natural fruit flavors and free from artificial sweeteners."", ""A smarter choice with significantly reduced sugar content for balanced hydration.""]",12.0,13.5,28.0,29.5,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,EnduroFuel,EnduroFuel Electrolyte Powder Sachets offer a delicious Berry Blast taste and are scientifically formulated for rapid rehydration. Replenish your body's electrolytes effectively.,B0BGR6842K
